#,Card,Card type,Type,G.S.,Level,ATK,DFD,picture,card_wiki_url
11,Sword Arm of Dragon,Monster,Dinosaur,"Uranus, Moon",6.0,1750.0,2030.0,https://static.wikia.nocookie.net/yugioh/images/1/19/SwordArmofDragon-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215170749,https://yugioh.fandom.com/wiki/Sword_Arm_of_Dragon_(FMR)
12,Swamp Battleguard,Monster,Warrior,"Mercury, Mars",5.0,1800.0,1500.0,https://static.wikia.nocookie.net/yugioh/images/2/24/SwampBattleguard-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215170748,https://yugioh.fandom.com/wiki/Swamp_Battleguard_(FMR)
13,Tyhone,Monster,Winged Beast,"Saturn, Venus",4.0,1200.0,1400.0,https://static.wikia.nocookie.net/yugioh/images/a/af/Tyhone-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215170750,https://yugioh.fandom.com/wiki/Tyhone_(FMR)
14,Battle Steer,Monster,Beast-Warrior,"Moon, Uranus",5.0,1800.0,1300.0,https://static.wikia.nocookie.net/yugioh/images/7/7b/BattleSteer-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215170145,https://yugioh.fandom.com/wiki/Battle_Steer_(FMR)
15,Flame Swordsman,Monster,Warrior,"Mars, Sun",5.0,1800.0,1600.0,https://static.wikia.nocookie.net/yugioh/images/a/a3/FlameSwordsman-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215170149,https://yugioh.fandom.com/wiki/Flame_Swordsman_(FMR)
16,Time Wizard,Monster,Spellcaster,"Venus, Sun",2.0,500.0,400.0,https://static.wikia.nocookie.net/yugioh/images/8/81/TimeWizard-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215170749,https://yugioh.fandom.com/wiki/Time_Wizard_(FMR)
17,Right Leg of the Forbidden One,Monster,Spellcaster,"Mercury, Jupiter",1.0,200.0,300.0,https://static.wikia.nocookie.net/yugioh/images/b/bb/RightLegoftheForbiddenOne-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215170509,https://yugioh.fandom.com/wiki/Right_Leg_of_the_Forbidden_One_(FMR)
18,Left Leg of the Forbidden One,Monster,Spellcaster,"Mercury, Saturn",1.0,200.0,300.0,https://static.wikia.nocookie.net/yugioh/images/d/d2/LeftLegoftheForbiddenOne-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215170507,https://yugioh.fandom.com/wiki/Left_Leg_of_the_Forbidden_One_(FMR)
19,Right Arm of the Forbidden One,Monster,Spellcaster,"Mercury, Uranus",1.0,200.0,300.0,https://static.wikia.nocookie.net/yugioh/images/9/9a/RightArmoftheForbiddenOne-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215170509,https://yugioh.fandom.com/wiki/Right_Arm_of_the_Forbidden_One_(FMR)
20,Left Arm of the Forbidden One,Monster,Spellcaster,"Mercury, Pluto",1.0,200.0,300.0,https://static.wikia.nocookie.net/yugioh/images/3/30/LeftArmoftheForbiddenOne-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215170507,https://yugioh.fandom.com/wiki/Left_Arm_of_the_Forbidden_One_(FMR)
21,Exodia the Forbidden,Monster,Spellcaster,"Mercury, Neptune",3.0,1000.0,1000.0,https://static.wikia.nocookie.net/yugioh/images/0/08/ExodiatheForbidden-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215170148,https://yugioh.fandom.com/wiki/Exodia_the_Forbidden
22,Summoned Skull,Monster,Fiend,"Moon, Pluto",6.0,2500.0,1200.0,https://static.wikia.nocookie.net/yugioh/images/7/76/SummonedSkull-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215170514,https://yugioh.fandom.com/wiki/Summoned_Skull_(FMR)
23,The Wicked Worm Beast,Monster,Beast,"Uranus, Venus",3.0,1400.0,700.0,https://static.wikia.nocookie.net/yugioh/images/e/e8/TheWickedWormBeast-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215170749,https://yugioh.fandom.com/wiki/The_Wicked_Worm_Beast_(FMR)
24,Skull Servant,Monster,Zombie,"Moon, Neptune",1.0,300.0,200.0,https://static.wikia.nocookie.net/yugioh/images/e/ef/SkullServant-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215170513,https://yugioh.fandom.com/wiki/Skull_Servant_(FMR)
25,Horn Imp,Monster,Fiend,"Moon, Mercury",4.0,1300.0,1000.0,https://static.wikia.nocookie.net/yugioh/images/1/13/HornImp-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215170152,https://yugioh.fandom.com/wiki/Horn_Imp_(FMR)
26,Battle Ox,Monster,Beast-Warrior,"Jupiter, Moon",4.0,1700.0,1000.0,https://static.wikia.nocookie.net/yugioh/images/7/73/BattleOx-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215170144,https://yugioh.fandom.com/wiki/Battle_Ox_(FMR)
27,Beaver Warrior,Monster,Beast-Warrior,"Jupiter, Venus",4.0,1200.0,1500.0,https://static.wikia.nocookie.net/yugioh/images/6/6c/BeaverWarrior-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215170145,https://yugioh.fandom.com/wiki/Beaver_Warrior_(FMR)
28,Rock Ogre Grotto #1,Monster,Rock,"Uranus, Mercury",3.0,800.0,1200.0,https://static.wikia.nocookie.net/yugioh/images/7/76/RockOgreGrotto1-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215170510,https://yugioh.fandom.com/wiki/Rock_Ogre_Grotto_1_(FMR)
29,Mountain Warrior,Monster,Beast-Warrior,"Uranus, Mars",3.0,600.0,1000.0,https://static.wikia.nocookie.net/yugioh/images/5/5a/MountainWarrior-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215182640,https://yugioh.fandom.com/wiki/Mountain_Warrior_(FMR)
30,Zombie Warrior,Monster,Zombie,"Moon, Mars",3.0,1200.0,900.0,https://static.wikia.nocookie.net/yugioh/images/c/c4/ZombieWarrior-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215170751,https://yugioh.fandom.com/wiki/Zombie_Warrior_(FMR)
31,Koumori Dragon,Monster,Dragon,"Moon, Jupiter",4.0,1500.0,1200.0,https://static.wikia.nocookie.net/yugioh/images/a/a4/KoumoriDragon-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215170506,https://yugioh.fandom.com/wiki/Koumori_Dragon_(FMR)
32,Two-headed King Rex,Monster,Dinosaur,"Uranus, Neptune",4.0,1600.0,1200.0,https://static.wikia.nocookie.net/yugioh/images/a/af/TwoheadedKingRex-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215170750,https://yugioh.fandom.com/wiki/Two-headed_King_Rex_(FMR)
33,Judge Man,Monster,Warrior,"Sun, Saturn",6.0,2200.0,1500.0,https://static.wikia.nocookie.net/yugioh/images/c/c2/JudgeMan-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215170506,https://yugioh.fandom.com/wiki/Judge_Man_(FMR)
34,Saggi the Dark Clown,Monster,Spellcaster,"Mercury, Moon",3.0,600.0,1500.0,https://static.wikia.nocookie.net/yugioh/images/a/a8/SaggitheDarkClown-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215170511,https://yugioh.fandom.com/wiki/Saggi_the_Dark_Clown_(FMR)
35,Dark Magician,Monster,Spellcaster,"Mercury, Mars",7.0,2500.0,2100.0,https://static.wikia.nocookie.net/yugioh/images/1/1c/DarkMagician-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215170148,https://yugioh.fandom.com/wiki/Dark_Magician_(FMR)
36,The Snake Hair,Monster,Zombie,"Moon, Saturn",4.0,1500.0,1200.0,https://static.wikia.nocookie.net/yugioh/images/5/5e/TheSnakeHair-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215170749,https://yugioh.fandom.com/wiki/The_Snake_Hair_(FMR)
37,Gaia the Dragon Champion,Monster,Dragon,"Saturn, Mercury",7.0,2600.0,2100.0,https://static.wikia.nocookie.net/yugioh/images/a/a3/GaiatheDragonChampion-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215170150,https://yugioh.fandom.com/wiki/Gaia_the_Dragon_Champion_(FMR)
38,Gaia the Fierce Knight,Monster,Warrior,"Mercury, Jupiter",7.0,2300.0,2100.0,https://static.wikia.nocookie.net/yugioh/images/6/6b/GaiatheFierceKnight-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215170150,https://yugioh.fandom.com/wiki/Gaia_the_Fierce_Knight_(FMR)
39,Curse of Dragon,Monster,Dragon,"Saturn, Pluto",5.0,2000.0,1500.0,https://static.wikia.nocookie.net/yugioh/images/8/89/CurseofDragon-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215170147,https://yugioh.fandom.com/wiki/Curse_of_Dragon_(FMR)
40,Dragon Piper,Monster,Pyro,"Mars, Moon",3.0,200.0,1800.0,https://static.wikia.nocookie.net/yugioh/images/e/e9/DragonPiper-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215170148,https://yugioh.fandom.com/wiki/Dragon_Piper_(FMR)
41,Celtic Guardian,Monster,Warrior,"Sun, Uranus",4.0,1400.0,1200.0,https://static.wikia.nocookie.net/yugioh/images/8/83/CelticGuardian-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215170147,https://yugioh.fandom.com/wiki/Celtic_Guardian_(FMR)
42,Illusionist Faceless Mage,Monster,Spellcaster,"Venus, Mars",5.0,1200.0,2200.0,https://static.wikia.nocookie.net/yugioh/images/a/a4/IllusionistFacelessMage-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215170505,https://yugioh.fandom.com/wiki/Illusionist_Faceless_Mage_(FMR)
43,Karbonala Warrior,Monster,Warrior,"Uranus, Jupiter",4.0,1500.0,1200.0,https://static.wikia.nocookie.net/yugioh/images/7/72/KarbonalaWarrior-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215170506,https://yugioh.fandom.com/wiki/Karbonala_Warrior_(FMR)
44,Rogue Doll,Monster,Spellcaster,"Sun, Pluto",4.0,1600.0,1000.0,https://static.wikia.nocookie.net/yugioh/images/7/7d/RogueDoll-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215170510,https://yugioh.fandom.com/wiki/Rogue_Doll_(FMR)
45,Oscillo Hero #2,Monster,Thunder,"Pluto, Sun",3.0,1000.0,500.0,https://static.wikia.nocookie.net/yugioh/images/e/e7/OscilloHero2-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215170508,https://yugioh.fandom.com/wiki/Oscillo_Hero_2_(FMR)
46,Griffore,Monster,Beast,"Jupiter, Mercury",4.0,1200.0,1500.0,https://static.wikia.nocookie.net/yugioh/images/4/47/Griffore-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215170151,https://yugioh.fandom.com/wiki/Griffore_(FMR)
47,Torike,Monster,Beast,"Uranus, Sun",3.0,1200.0,600.0,https://static.wikia.nocookie.net/yugioh/images/2/2c/Torike-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215170750,https://yugioh.fandom.com/wiki/Torike_(FMR)
48,Sangan,Monster,Fiend,"Moon, Uranus",3.0,1000.0,600.0,https://static.wikia.nocookie.net/yugioh/images/2/2d/Sangan-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131216211039,https://yugioh.fandom.com/wiki/Sangan_(FMR)
49,Big Insect,Monster,Insect,"Jupiter, Uranus",4.0,1200.0,1500.0,https://static.wikia.nocookie.net/yugioh/images/9/98/BigInsect-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215170146,https://yugioh.fandom.com/wiki/Big_Insect_(FMR)
50,Basic Insect,Monster,Insect,"Jupiter, Pluto",2.0,500.0,700.0,https://static.wikia.nocookie.net/yugioh/images/6/63/BasicInsect-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215170144,https://yugioh.fandom.com/wiki/Basic_Insect_(FMR)
51,Armored Lizard,Monster,Reptile,"Neptune, Sun",4.0,1500.0,1200.0,https://static.wikia.nocookie.net/yugioh/images/2/25/ArmoredLizard-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215181521,https://yugioh.fandom.com/wiki/Armored_Lizard_(FMR)
52,Hercules Beetle,Monster,Insect,"Jupiter, Neptune",5.0,1500.0,2000.0,https://static.wikia.nocookie.net/yugioh/images/4/4b/HerculesBeetle-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215181733,https://yugioh.fandom.com/wiki/Hercules_Beetle_(FMR)
53,Killer Needle,Monster,Insect,"Jupiter, Sun",4.0,1200.0,1000.0,https://static.wikia.nocookie.net/yugioh/images/6/6b/KillerNeedle-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215181734,https://yugioh.fandom.com/wiki/Killer_Needle_(FMR)
54,Gokibore,Monster,Insect,"Jupiter, Moon",4.0,1200.0,1400.0,https://static.wikia.nocookie.net/yugioh/images/8/84/Gokibore-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215181532,https://yugioh.fandom.com/wiki/Gokibore_(FMR)
55,Giant Flea,Monster,Insect,"Jupiter, Venus",4.0,1500.0,1200.0,https://static.wikia.nocookie.net/yugioh/images/8/8b/GiantFlea-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215181530,https://yugioh.fandom.com/wiki/Giant_Flea_(FMR)
56,Larvae Moth,Monster,Insect,"Jupiter, Mercury",2.0,500.0,400.0,https://static.wikia.nocookie.net/yugioh/images/3/3c/LarvaeMoth-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215181737,https://yugioh.fandom.com/wiki/Larvae_Moth_(FMR)
57,Great Moth,Monster,Insect,"Jupiter, Uranus",8.0,2600.0,2500.0,https://static.wikia.nocookie.net/yugioh/images/c/c5/GreatMoth-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215181730,https://yugioh.fandom.com/wiki/Great_Moth_(FMR)
58,Kuriboh,Monster,Fiend,"Mercury, Saturn",1.0,300.0,200.0,https://static.wikia.nocookie.net/yugioh/images/0/04/Kuriboh-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215181736,https://yugioh.fandom.com/wiki/Kuriboh_(FMR)
59,Mammoth Graveyard,Monster,Dinosaur,"Mercury, Pluto",3.0,1200.0,800.0,https://static.wikia.nocookie.net/yugioh/images/2/2c/MammothGraveyard-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215181737,https://yugioh.fandom.com/wiki/Mammoth_Graveyard_(FMR)
60,Great White,Monster,Fish,"Neptune, Moon",4.0,1600.0,800.0,https://static.wikia.nocookie.net/yugioh/images/6/61/GreatWhite-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215181731,https://yugioh.fandom.com/wiki/Great_White_(FMR)
61,Wolf,Monster,Beast,"Jupiter, Pluto",3.0,1200.0,800.0,https://static.wikia.nocookie.net/yugioh/images/4/4a/Wolf-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215181937,https://yugioh.fandom.com/wiki/Wolf_(FMR)
62,Harpie Lady,Monster,Winged Beast,"Saturn, Neptune",4.0,1300.0,1400.0,https://static.wikia.nocookie.net/yugioh/images/3/31/HarpieLady-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215181732,https://yugioh.fandom.com/wiki/Harpie_Lady_(FMR)
63,Harpie Lady Sisters,Monster,Winged Beast,"Saturn, Mars",6.0,1950.0,2100.0,https://static.wikia.nocookie.net/yugioh/images/d/dd/HarpieLadySisters-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215181732,https://yugioh.fandom.com/wiki/Harpie_Lady_Sisters_(FMR)
64,Tiger Axe,Monster,Beast-Warrior,"Jupiter, Neptune",4.0,1300.0,1100.0,https://static.wikia.nocookie.net/yugioh/images/d/d5/TigerAxe-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215181936,https://yugioh.fandom.com/wiki/Tiger_Axe_(FMR)
65,Silver Fang,Monster,Beast,"Jupiter, Sun",3.0,1200.0,800.0,https://static.wikia.nocookie.net/yugioh/images/6/64/SilverFang-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215181934,https://yugioh.fandom.com/wiki/Silver_Fang_(FMR)
66,Kojikocy,Monster,Warrior,"Uranus, Moon",4.0,1500.0,1200.0,https://static.wikia.nocookie.net/yugioh/images/5/5c/Kojikocy-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215181735,https://yugioh.fandom.com/wiki/Kojikocy_(FMR)
67,Perfectly Ultimate Great Moth,Monster,Insect,"Jupiter, Moon",8.0,3500.0,3000.0,https://static.wikia.nocookie.net/yugioh/images/2/2b/PerfectlyUltimateGreatMoth-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20100331141011,https://yugioh.fandom.com/wiki/Perfectly_Ultimate_Great_Moth_(FMR)
68,Garoozis,Monster,Beast-Warrior,"Mars, Venus",5.0,1800.0,1500.0,https://static.wikia.nocookie.net/yugioh/images/4/48/Garoozis-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215182206,https://yugioh.fandom.com/wiki/Garoozis_(FMR)
69,Thousand Dragon,Monster,Dragon,"Mars, Mercury",7.0,2400.0,2000.0,https://static.wikia.nocookie.net/yugioh/images/9/9f/ThousandDragon-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215181934,https://yugioh.fandom.com/wiki/Thousand_Dragon_(FMR)
70,Fiend Kraken,Monster,Aqua,"Neptune, Venus",4.0,1200.0,1400.0,https://static.wikia.nocookie.net/yugioh/images/3/30/FiendKraken-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215181530,https://yugioh.fandom.com/wiki/Fiend_Kraken_(FMR)
71,Jellyfish,Monster,Aqua,"Neptune, Mercury",4.0,1200.0,1500.0,https://static.wikia.nocookie.net/yugioh/images/2/2d/Jellyfish-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215181733,https://yugioh.fandom.com/wiki/Jellyfish_(FMR)
72,Cocoon of Evolution,Monster,Insect,"Jupiter, Venus",3.0,0.0,2000.0,https://static.wikia.nocookie.net/yugioh/images/0/0d/CocoonofEvolution-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215181526,https://yugioh.fandom.com/wiki/Cocoon_of_Evolution_(FMR)
73,Kairyu-Shin,Monster,Sea Serpent,"Neptune, Mars",5.0,1800.0,1500.0,https://static.wikia.nocookie.net/yugioh/images/5/54/KairyuShin-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215181734,https://yugioh.fandom.com/wiki/Kairyu-Shin_(FMR)
74,Giant Soldier of Stone,Monster,Rock,"Uranus, Venus",3.0,1300.0,2000.0,https://static.wikia.nocookie.net/yugioh/images/b/b6/GiantSoldierofStone-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215181531,https://yugioh.fandom.com/wiki/Giant_Soldier_of_Stone_(FMR)
75,Man-eating Plant,Monster,Plant,"Mercury, Jupiter",2.0,800.0,600.0,https://static.wikia.nocookie.net/yugioh/images/8/87/ManeatingPlant-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215181737,https://yugioh.fandom.com/wiki/Man-eating_Plant_(FMR)
76,Krokodilus,Monster,Reptile,"Neptune, Jupiter",4.0,1100.0,1200.0,https://static.wikia.nocookie.net/yugioh/images/7/7b/Krokodilus-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215181736,https://yugioh.fandom.com/wiki/Krokodilus_(FMR)
77,Grappler,Monster,Reptile,"Neptune, Saturn",4.0,1300.0,1200.0,https://static.wikia.nocookie.net/yugioh/images/2/2c/Grappler-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215181533,https://yugioh.fandom.com/wiki/Grappler_(FMR)
78,Axe Raider,Monster,Warrior,"Uranus, Mercury",4.0,1700.0,1150.0,https://static.wikia.nocookie.net/yugioh/images/3/3d/AxeRaider-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215181523,https://yugioh.fandom.com/wiki/Axe_Raider_(FMR)
79,Megazowler,Monster,Dinosaur,"Uranus, Neptune",6.0,1800.0,2000.0,https://static.wikia.nocookie.net/yugioh/images/c/c6/Megazowler-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215181738,https://yugioh.fandom.com/wiki/Megazowler_(FMR)
80,Uraby,Monster,Dinosaur,"Uranus, Mars",4.0,1500.0,800.0,https://static.wikia.nocookie.net/yugioh/images/3/36/Uraby-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215181937,https://yugioh.fandom.com/wiki/Uraby_(FMR)
81,Crawling Dragon #2,Monster,Dinosaur,"Moon, Pluto",4.0,1600.0,1200.0,https://static.wikia.nocookie.net/yugioh/images/8/86/CrawlingDragon2-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215181528,https://yugioh.fandom.com/wiki/Crawling_Dragon_2_(FMR)
82,Red-eyes B. Dragon,Monster,Dragon,"Moon, Neptune",7.0,2400.0,2000.0,https://static.wikia.nocookie.net/yugioh/images/e/e5/RedeyesBDragon-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215181933,https://yugioh.fandom.com/wiki/Red-eyes_B._Dragon_(FMR)
83,Castle of Dark Illusions,Monster,Fiend,"Mercury, Uranus",4.0,920.0,1930.0,https://static.wikia.nocookie.net/yugioh/images/d/d7/CastleofDarkIllusions-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215181525,https://yugioh.fandom.com/wiki/Castle_of_Dark_Illusions_(FMR)
84,Reaper of the Cards,Monster,Fiend,"Moon, Pluto",5.0,1380.0,1930.0,https://static.wikia.nocookie.net/yugioh/images/c/c4/ReaperoftheCards-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215181932,https://yugioh.fandom.com/wiki/Reaper_of_the_Cards_(FMR)
85,King of Yamimakai,Monster,Fiend,"Moon, Pluto",5.0,2000.0,1530.0,https://static.wikia.nocookie.net/yugioh/images/d/dc/KingofYamimakai-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215181735,https://yugioh.fandom.com/wiki/King_of_Yamimakai_(FMR)
86,Barox,Monster,Fiend,"Jupiter, Mercury",5.0,1380.0,1530.0,https://static.wikia.nocookie.net/yugioh/images/9/99/Barox-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215181524,https://yugioh.fandom.com/wiki/Barox_(FMR)
87,Dark Chimera,Monster,Fiend,"Mercury, Neptune",5.0,1610.0,1460.0,https://static.wikia.nocookie.net/yugioh/images/d/d3/DarkChimera-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215181529,https://yugioh.fandom.com/wiki/Dark_Chimera_(FMR)
88,Metal Guardian,Monster,Fiend,"Moon, Mercury",5.0,1150.0,2150.0,https://static.wikia.nocookie.net/yugioh/images/8/85/MetalGuardian-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215181738,https://yugioh.fandom.com/wiki/Metal_Guardian_(FMR)
89,Catapult Turtle,Monster,Aqua,"Neptune, Sun",5.0,1000.0,2000.0,https://static.wikia.nocookie.net/yugioh/images/2/23/CatapultTurtle-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215181525,https://yugioh.fandom.com/wiki/Catapult_Turtle_(FMR)
90,Gyakutenno Megami,Monster,Fairy,"Sun, Neptune",6.0,1800.0,2000.0,https://static.wikia.nocookie.net/yugioh/images/a/ac/GyakutennoMegami-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215181732,https://yugioh.fandom.com/wiki/Gyakutenno_Megami_(FMR)
91,Mystic Horseman,Monster,Beast,"Jupiter, Uranus",4.0,1300.0,1550.0,https://static.wikia.nocookie.net/yugioh/images/c/c1/MysticHorseman-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215181739,https://yugioh.fandom.com/wiki/Mystic_Horseman_(FMR)
92,Rabid Horseman,Monster,Beast-Warrior,"Jupiter, Pluto",6.0,2000.0,1700.0,https://static.wikia.nocookie.net/yugioh/images/3/34/RabidHorseman-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215181932,https://yugioh.fandom.com/wiki/Rabid_Horseman_(FMR)
